PortName,Country,Latitude,Longitude,Region,Sub Region,country_id,created_by
Veracruz,Mexico,-96.08333333,19.2,Americas,Latin America and the Caribbean,142,1
Giurgiulesti,Moldova,28.18333333,45.46666667,Europe,Eastern Europe,144,1
Bar,Montenegro,19.08333333,42.08333333,Europe,Southern Europe,147,1
Plymouth,Montserrat,-62.21292,16.70555,Americas,Latin America and the Caribbean,148,1
Agadir,Morocco,-9.59815,30.42018,Africa,Northern Africa,149,1
Casablanca,Morocco,-7.6,33.58333333,Africa,Northern Africa,149,1
Nador,Morocco,-2.93352,35.16813,Africa,Northern Africa,149,1
Tanger Med,Morocco,-5.56323,35.82674,Africa,Northern Africa,149,1
Beira,Mozambique,34.83889,-19.84361,Africa,Sub-Saharan Africa,150,1
Maputo,Mozambique,32.58322,-25.96553,Africa,Sub-Saharan Africa,150,1
Nacala,Mozambique,40.68538,-14.56257,Africa,Sub-Saharan Africa,150,1
Quelimane,Mozambique,36.88833,-17.87861,Africa,Sub-Saharan Africa,150,1
Thilawa,Myanmar,96.25,16.65,Asia,South-eastern Asia,151,1
Yangon,Myanmar,96.15611,16.80528,Asia,South-eastern Asia,151,1
Luderitz,Namibia,15.16666667,-26.65,Africa,Sub-Saharan Africa,152,1
Walvis Bay,Namibia,14.50528,-22.9575,Africa,Sub-Saharan Africa,152,1
Nauru Island,Nauru,166.9166667,-0.55,Oceania,Micronesia,153,1
Amsterdam,Netherlands The,4.816666667,52.4,Europe,Western Europe,156,1
Botlek,Netherlands The,4.283333333,51.88333333,Europe,Western Europe,156,1
IJmuiden/Velsen,Netherlands The,4.6,52.46666667,Europe,Western Europe,156,1
Moerdijk,Netherlands The,4.566666667,51.68333333,Europe,Western Europe,156,1
Rotterdam,Netherlands The,4.5,51.91666667,Europe,Western Europe,156,1
Terneuzen,Netherlands The,3.816666667,51.46666667,Europe,Western Europe,156,1
Vlissingen,Netherlands The,3.7,51.45,Europe,Western Europe,156,1
Noumea,New Caledonia,166.45,-22.26666667,Oceania,Melanesia,157,1
Auckland,New Zealand,174.8,-36.83333333,Oceania,Australia and New Zealand,158,1
Bluff,New Zealand,168.3166667,-46.6,Oceania,Australia and New Zealand,158,1
Lyttelton,New Zealand,172.7166667,-43.6,Oceania,Australia and New Zealand,158,1
Marsden Point,New Zealand,174.5,-35.83333333,Oceania,Australia and New Zealand,158,1
Napier,New Zealand,176.9,-39.46666667,Oceania,Australia and New Zealand,158,1
Nelson,New Zealand,173.2666667,-41.25,Oceania,Australia and New Zealand,158,1
Port Chalmers,New Zealand,170.6,-45.81666667,Oceania,Australia and New Zealand,158,1
Tauranga,New Zealand,176.1666667,-37.68333333,Oceania,Australia and New Zealand,158,1
Timaru,New Zealand,171.25,-44.38333333,Oceania,Australia and New Zealand,158,1
Wellington,New Zealand,174.7833333,-41.26666667,Oceania,Australia and New Zealand,158,1
Corinto,Nicaragua,-87.17304,12.4825,Americas,Latin America and the Caribbean,159,1
Rama,Nicaragua,-84.21666667,12.15,Americas,Latin America and the Caribbean,159,1
Apapa,Nigeria,3.35901,6.4488,Africa,Sub-Saharan Africa,161,1
Calabar,Nigeria,8.32695,4.95893,Africa,Sub-Saharan Africa,161,1
Lagos,Nigeria,3.39467,6.45407,Africa,Sub-Saharan Africa,161,1
Lekki,Nigeria,3.1,6.45,Africa,Sub-Saharan Africa,161,1
Onne,Nigeria,7.15,4.716666667,Africa,Sub-Saharan Africa,161,1
Port Harcourt,Nigeria,7.0134,4.77742,Africa,Sub-Saharan Africa,161,1
Alesund,Norway,6.15,62.46666667,Europe,Northern Europe,165,1
Ardalstangen,Norway,7.7,61.23333333,Europe,Northern Europe,165,1
Averoy,Norway,7.666666667,63.05,Europe,Northern Europe,165,1
Bergen,Norway,5.316666667,60.38333333,Europe,Northern Europe,165,1
Bodo,Norway,14.36666667,67.28333333,Europe,Northern Europe,165,1
Brevik,Norway,9.7,59.05,Europe,Northern Europe,165,1
Drammen,Norway,10.23333333,59.73333333,Europe,Northern Europe,165,1
Egersund,Norway,6,58.45,Europe,Northern Europe,165,1
Floro,Norway,5.016666667,61.6,Europe,Northern Europe,165,1
Fredrikstad,Norway,10.91666667,59.2,Europe,Northern Europe,165,1
Fusa,Norway,5.616666667,60.2,Europe,Northern Europe,165,1
Gjemnes,Norway,8.08604,62.89225,Europe,Northern Europe,165,1
Glomfjord,Norway,13.93333333,66.8,Europe,Northern Europe,165,1
Hammerfest,Norway,23.66666667,70.65,Europe,Northern Europe,165,1
Harstad,Norway,16.53333333,68.78333333,Europe,Northern Europe,165,1
Haugesund,Norway,5.25,59.4,Europe,Northern Europe,165,1
Havik,Norway,5.316666667,59.3,Europe,Northern Europe,165,1
Holla,Norway,9.183333333,59.6,Europe,Northern Europe,165,1
Hoyanger,Norway,6.05,61.21666667,Europe,Northern Europe,165,1
Husoy - Tonsberg,Norway,10.45,59.23333333,Europe,Northern Europe,165,1
Ikornnes,Norway,6.55,62.38333333,Europe,Northern Europe,165,1
Kristiansand,Norway,7.983333333,58.13333333,Europe,Northern Europe,165,1
Larvik,Norway,10.01666667,59.03333333,Europe,Northern Europe,165,1
Maloy,Norway,5.1,61.93333333,Europe,Northern Europe,165,1
Molde,Norway,7.15,62.73333333,Europe,Northern Europe,165,1
Mosjoen,Norway,13.2,65.83333333,Europe,Northern Europe,165,1
Moss,Norway,10.65,59.41666667,Europe,Northern Europe,165,1
Odda,Norway,6.533333333,60.06666667,Europe,Northern Europe,165,1
Orkanger,Norway,9.833333333,63.31666667,Europe,Northern Europe,165,1
Oslo,Norway,10.73333333,59.9,Europe,Northern Europe,165,1
Salten,Norway,15.58333333,67.36666667,Europe,Northern Europe,165,1
Stavanger,Norway,5.75,58.96666667,Europe,Northern Europe,165,1
Stokmarknes,Norway,14.9,68.56666667,Europe,Northern Europe,165,1
Sunndalsora,Norway,8.55,62.66666667,Europe,Northern Europe,165,1
Svelgen,Norway,5.283333333,61.76666667,Europe,Northern Europe,165,1
Svolvar,Norway,14.55,68.21666667,Europe,Northern Europe,165,1
Tananger,Norway,5.583333333,58.91666667,Europe,Northern Europe,165,1
Tromso,Norway,18.96666667,69.66666667,Europe,Northern Europe,165,1
Trondheim,Norway,10.4,63.43333333,Europe,Northern Europe,165,1
Salalah,Oman,54.09237,17.01505,Asia,Western Asia,166,1
Sohar,Oman,56.70937,24.34745,Asia,Western Asia,166,1
Gwadar,Pakistan,62.32541,25.12163,Asia,Southern Asia,167,1
Karachi,Pakistan,67.0104,24.8608,Asia,Southern Asia,167,1
Koror,Palau,134.47326,7.33978,Oceania,Micronesia,168,1
Almirante,Panama,-82.4018,9.30091,Americas,Latin America and the Caribbean,170,1
Balboa,Panama,-79.56672,8.94814,Americas,Latin America and the Caribbean,170,1
Coco Solo,Panama,-79.88168,9.37091,Americas,Latin America and the Caribbean,170,1
Colon,Panama,-79.86666667,9.35,Americas,Latin America and the Caribbean,170,1
Cristobal,Panama,-79.9,9.35,Americas,Latin America and the Caribbean,170,1
Manzanillo,Panama,-81.16667,7.53667,Americas,Latin America and the Caribbean,170,1
Panama Ciudad de ,Panama,-79.53333333,8.966666667,Americas,Latin America and the Caribbean,170,1
Rodman,Panama,-79.56666667,8.95,Americas,Latin America and the Caribbean,170,1
Alotau,Papua New Guinea,150.45742,-10.31509,Oceania,Melanesia,171,1
Buka,Papua New Guinea,154.67098,-5.43261,Oceania,Melanesia,171,1
Kimbe,Papua New Guinea,150.13766,-5.55085,Oceania,Melanesia,171,1
Lae,Papua New Guinea,146.99611,-6.72333,Oceania,Melanesia,171,1
Madang,Papua New Guinea,145.7833333,-5.216666667,Oceania,Melanesia,171,1
Motukea Island,Papua New Guinea,147.1,-9.433333333,Oceania,Melanesia,171,1
Port Moresby,Papua New Guinea,147.15089,-9.47723,Oceania,Melanesia,171,1
Rabaul,Papua New Guinea,152.16297,-4.20037,Oceania,Melanesia,171,1
Wewak,Papua New Guinea,143.63229,-3.54964,Oceania,Melanesia,171,1
Asuncion,Paraguay,-57.66666667,-25.26666667,Americas,Latin America and the Caribbean,172,1
Callao,Peru,-77.11814,-12.05659,Americas,Latin America and the Caribbean,173,1
